"harmonic","aspect_degree","dms","name","prime","prime_factorization","natal_definition","transit_definition","harmony_definition","source"
"272","1.323529","1° 19' 25""","—","No","2^4 × 17","Blend of prime factors: H2^4 (pressure/polarity) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^4 × 17 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2^4 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"273","1.318681","1° 19' 07""","—","No","3 × 7 × 13","Blend of prime factors: H3 (ease/flow) + H7 (fate/inspiration) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 7 × 13 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","3 × 7 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"274","1.313869","1° 18' 50""","—","No","2 × 137","Blend of prime factors: H2 (pressure/polarity) + H137 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 137 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2 × 137 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"275","1.309091","1° 18' 33""","—","No","5^2 × 11","Blend of prime factors: H5² (creative form) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5^2 × 11 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","5^2 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"276","1.304348","1° 18' 16""","—","No","2^2 × 3 × 23","Blend of prime factors: H2² (pressure/polarity) + H3 (ease/flow) + H23 (novel configurations). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 3 × 23 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2^2 × 3 × 23 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"277","1.299639","1° 17' 59""","—","Yes","277","Prime H277: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"278","1.294964","1° 17' 42""","—","No","2 × 139","Blend of prime factors: H2 (pressure/polarity) + H139 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 139 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2 × 139 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"279","1.290323","1° 17' 25""","—","No","3^2 × 31","Blend of prime factors: H3² (ease/flow) + H31 (limits of systems). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^2 × 31 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","3^2 × 31 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"280","1.285714","1° 17' 09""","—","No","2^3 × 5 × 7","Blend of prime factors: H2³ (pressure/polarity) + H5 (creative form) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 5 × 7 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2^3 × 5 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"281","1.281139","1° 16' 52""","—","Yes","281","Prime H281: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"282","1.276596","1° 16' 36""","—","No","2 × 3 × 47","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H47 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 47 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2 × 3 × 47 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"283","1.272085","1° 16' 20""","—","Yes","283","Prime H283: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"284","1.267606","1° 16' 03""","—","No","2^2 × 71","Blend of prime factors: H2² (pressure/polarity) + H71 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 71 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2^2 × 71 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"285","1.263158","1° 15' 47""","—","No","3 × 5 × 19","Blend of prime factors: H3 (ease/flow) + H5 (creative form) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 5 × 19 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","3 × 5 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"286","1.258741","1° 15' 31""","—","No","2 × 11 × 13","Blend of prime factors: H2 (pressure/polarity) + H11 (Uranian excess) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 11 × 13 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2 × 11 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"287","1.254355","1° 15' 16""","—","No","7 × 41","Blend of prime factors: H7 (fate/inspiration) + H41 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 7 × 41 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","7 × 41 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"288","1.25","1° 15' 00""","—","No","2^5 × 3^2","Blend of prime factors: H2^5 (pressure/polarity) + H3² (ease/flow). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^5 × 3^2 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2^5 × 3^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"289","1.245675","1° 14' 44""","—","No","17^2","17²: H17 squared — narrative reconfiguration at double depth. Extreme theatrical empathy; lives many lives simultaneously.","Double-depth narrative reconfiguration; story within story.","H17 resonance squared — the story-of-stories.","Derived (factor blend)"
"290","1.241379","1° 14' 29""","—","No","2 × 5 × 29","Blend of prime factors: H2 (pressure/polarity) + H5 (creative form) + H29 (paradigm options). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 5 × 29 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2 × 5 × 29 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"291","1.237113","1° 14' 14""","—","No","3 × 97","Blend of prime factors: H3 (ease/flow) + H97 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 97 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","3 × 97 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"292","1.232877","1° 13' 58""","—","No","2^2 × 73","Blend of prime factors: H2² (pressure/polarity) + H73 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 73 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^2 × 73 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"293","1.228669","1° 13' 43""","—","Yes","293","Prime H293: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"294","1.22449","1° 13' 28""","—","No","2 × 3 × 7^2","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H7² (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 7^2 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 3 × 7^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"295","1.220339","1° 13' 13""","—","No","5 × 59","Blend of prime factors: H5 (creative form) + H59 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 59 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","5 × 59 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"296","1.216216","1° 12' 58""","—","No","2^3 × 37","Blend of prime factors: H2³ (pressure/polarity) + H37 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 37 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^3 × 37 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"297","1.212121","1° 12' 44""","—","No","3^3 × 11","Blend of prime factors: H3³ (ease/flow) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^3 × 11 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","3^3 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"298","1.208054","1° 12' 29""","—","No","2 × 149","Blend of prime factors: H2 (pressure/polarity) + H149 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 149 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 149 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"299","1.204013","1° 12' 14""","—","No","13 × 23","Blend of prime factors: H13 (transformation/lordship) + H23 (novel configurations). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 13 × 23 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","13 × 23 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"300","1.2","1° 12' 00""","—","No","2^2 × 3 × 5^2","Blend of prime factors: H2² (pressure/polarity) + H3 (ease/flow) + H5² (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 3 × 5^2 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^2 × 3 × 5^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"301","1.196013","1° 11' 46""","—","No","7 × 43","Blend of prime factors: H7 (fate/inspiration) + H43 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 7 × 43 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","7 × 43 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"302","1.192053","1° 11' 31""","—","No","2 × 151","Blend of prime factors: H2 (pressure/polarity) + H151 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 151 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 151 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"303","1.188119","1° 11' 17""","—","No","3 × 101","Blend of prime factors: H3 (ease/flow) + H101 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 101 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","3 × 101 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"304","1.184211","1° 11' 03""","—","No","2^4 × 19","Blend of prime factors: H2^4 (pressure/polarity) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^4 × 19 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^4 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"305","1.180328","1° 10' 49""","—","No","5 × 61","Blend of prime factors: H5 (creative form) + H61 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 61 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","5 × 61 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"306","1.176471","1° 10' 35""","—","No","2 × 3^2 × 17","Blend of prime factors: H2 (pressure/polarity) + H3² (ease/flow) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3^2 × 17 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 3^2 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"307","1.172638","1° 10' 21""","—","Yes","307","Prime H307: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"308","1.168831","1° 10' 08""","—","No","2^2 × 7 × 11","Blend of prime factors: H2² (pressure/polarity) + H7 (fate/inspiration) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 7 × 11 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^2 × 7 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"309","1.165049","1° 09' 54""","—","No","3 × 103","Blend of prime factors: H3 (ease/flow) + H103 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 103 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","3 × 103 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"310","1.16129","1° 09' 41""","—","No","2 × 5 × 31","Blend of prime factors: H2 (pressure/polarity) + H5 (creative form) + H31 (limits of systems). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 5 × 31 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 5 × 31 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"311","1.157556","1° 09' 27""","—","Yes","311","Prime H311: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"312","1.153846","1° 09' 14""","—","No","2^3 × 3 × 13","Blend of prime factors: H2³ (pressure/polarity) + H3 (ease/flow) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 3 × 13 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^3 × 3 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"313","1.15016","1° 09' 01""","—","Yes","313","Prime H313: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"314","1.146497","1° 08' 47""","—","No","2 × 157","Blend of prime factors: H2 (pressure/polarity) + H157 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 157 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 157 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"315","1.142857","1° 08' 34""","—","No","3^2 × 5 × 7","Blend of prime factors: H3² (ease/flow) + H5 (creative form) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^2 × 5 × 7 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","3^2 × 5 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"316","1.139241","1° 08' 21""","—","No","2^2 × 79","Blend of prime factors: H2² (pressure/polarity) + H79 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 79 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^2 × 79 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"317","1.135647","1° 08' 08""","—","Yes","317","Prime H317: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"318","1.132075","1° 07' 55""","—","No","2 × 3 × 53","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H53 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 53 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 3 × 53 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"319","1.128527","1° 07' 43""","—","No","11 × 29","Blend of prime factors: H11 (Uranian excess) + H29 (paradigm options). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 11 × 29 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","11 × 29 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"320","1.125","1° 07' 30""","—","No","2^6 × 5","Blend of prime factors: H2^6 (pressure/polarity) + H5 (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^6 × 5 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^6 × 5 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"321","1.121495","1° 07' 17""","—","No","3 × 107","Blend of prime factors: H3 (ease/flow) + H107 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 107 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","3 × 107 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"322","1.118012","1° 07' 05""","—","No","2 × 7 × 23","Blend of prime factors: H2 (pressure/polarity) + H7 (fate/inspiration) + H23 (novel configurations). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 7 × 23 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 7 × 23 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"323","1.114551","1° 06' 52""","—","No","17 × 19","Blend of prime factors: H17 (narrative reconfiguration) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 17 × 19 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","17 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"324","1.111111","1° 06' 40""","—","No","2^2 × 3^4","Blend of prime factors: H2² (pressure/polarity) + H3^4 (ease/flow). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 3^4 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^2 × 3^4 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"325","1.107692","1° 06' 28""","—","No","5^2 × 13","Blend of prime factors: H5² (creative form) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5^2 × 13 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","5^2 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"326","1.104294","1° 06' 15""","—","No","2 × 163","Blend of prime factors: H2 (pressure/polarity) + H163 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 163 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 163 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"327","1.100917","1° 06' 03""","—","No","3 × 109","Blend of prime factors: H3 (ease/flow) + H109 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 109 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","3 × 109 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"328","1.097561","1° 05' 51""","—","No","2^3 × 41","Blend of prime factors: H2³ (pressure/polarity) + H41 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 41 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^3 × 41 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"329","1.094225","1° 05' 39""","—","No","7 × 47","Blend of prime factors: H7 (fate/inspiration) + H47 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 7 × 47 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","7 × 47 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"330","1.090909","1° 05' 27""","—","No","2 × 3 × 5 × 11","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H5 (creative form) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 5 × 11 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 3 × 5 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
